customer,billing,date
bUF5P,6.82,2018-11-02
dAMWr,20.35,2018-11-02
cwB2C,165.07000000000005,2018-11-02
fYlGs,26.64,2018-11-02
p5iLp,105.68,2018-11-02
8dEUz,4.06,2018-11-02
4rzGj,44.9,2018-11-02
zCXG_,7.0,2018-11-02
LWO_0,53.010000000000005,2018-11-02
WXU9K,6.99,2018-11-02
28RDA,20.549999999999997,2018-11-02
UMLjh,32.61,2018-11-02
QuetD,13.45,2018-11-02
boWrS,3.8099999999999996,2018-11-02
MC4dO,10.24,2018-11-02
4cttn,16.42,2018-11-02
KOQh6,86.88,2018-11-02
3JmIO,19.7,2018-11-02
VXXH7,11.02,2018-11-02
GHhno,36.45,2018-11-02
Tc4lk,52.16999999999999,2018-11-02
eUL6A,30.509999999999998,2018-11-02
eOHoR,20.67,2018-11-02
CLinm,11.86,2018-11-02
OyXge,28.110000000000003,2018-11-02
Vmoa6,16.21,2018-11-02
5FJa8,50.290000000000006,2018-11-02
GOuwF,68.41,2018-11-02
SNoTT,53.339999999999996,2018-11-02
4mjOl,9.11,2018-11-02
5QIfB,3.9,2018-11-02
G~Jb8,21.240000000000002,2018-11-02
oDH8X,39.400000000000006,2018-11-02
1ZWV5,41.989999999999995,2018-11-02
NS5w3,27.169999999999998,2018-11-02
2oa7X,15.29,2018-11-02
gjwfk,82.09,2018-11-02
3PEjj,20.41,2018-11-02
lN2PA,23.990000000000002,2018-11-02
hCt5N,3.57,2018-11-02
lVZR~,14.39,2018-11-02
rUK7x,31.21,2018-11-02
jelU9,28.680000000000003,2018-11-02
79Zup,124.84000000000002,2018-11-02
ADxjb,24.700000000000003,2018-11-02
UabIW,20.530000000000005,2018-11-02
YxHvm,6.699999999999999,2018-11-02
uurvb,26.72,2018-11-02
e10Sq,58.06,2018-11-02
0Tcmu,22.330000000000002,2018-11-02
x3hyr,4.73,2018-11-02
JabN4,2.51,2018-11-02
P77XO,5.05,2018-11-02
jzkyL,29.44,2018-11-02
J7pt0,3.65,2018-11-02
cP5BH,42.13999999999999,2018-11-02
~~r6s,75.35999999999999,2018-11-02
mjjyk,13.459999999999999,2018-11-02
mmBzz,7.180000000000001,2018-11-02
T0oDF,14.54,2018-11-02
J09Rn,6.51,2018-11-02
ZPsag,17.6,2018-11-02
eK7u5,56.0,2018-11-02
4UHLm,34.1,2018-11-02
QGI4b,55.92,2018-11-02
fn71Z,20.04,2018-11-02
WQrnd,6.84,2018-11-02
P9mDW,26.95,2018-11-02
VJ27Y,18.539999999999996,2018-11-02
jY9fC,23.27,2018-11-02
adezM,45.58,2018-11-02
vEo~H,24.15,2018-11-02
I5SfI,47.01,2018-11-02
OY6FG,19.990000000000002,2018-11-02
c2NqT,82.32000000000001,2018-11-02
CzQMy,10.01,2018-11-02
ifp4i,37.41,2018-11-02
lRBoW,35.61,2018-11-02
IqJvj,104.91000000000001,2018-11-02
TGfu6,7.32,2018-11-02
4aqdW,21.29,2018-11-02
Z_G75,5.8,2018-11-02
M~O59,57.279999999999994,2018-11-02
qPC3O,7.359999999999999,2018-11-02
p_7Tp,57.82,2018-11-02
14iJc,34.29,2018-11-02
VLnRq,11.950000000000001,2018-11-02
eBixL,38.4,2018-11-02
gr0vQ,39.09,2018-11-02
L3_V7,18.340000000000003,2018-11-02
LdIbu,34.47,2018-11-02
Z1WlZ,5.78,2018-11-02
7pvmc,8.02,2018-11-02
7covn,14.830000000000002,2018-11-02
MJ~Zk,40.93,2018-11-02
kdnWw,17.78,2018-11-02
kGoPw,23.29,2018-11-02
skz4r,58.95,2018-11-02
HPBrS,6.95,2018-11-02
YsV5A,29.419999999999998,2018-11-02
EIDeV,12.6,2018-11-02
LU1GU,10.93,2018-11-02
DA9O8,31.480000000000004,2018-11-02
szbN6,24.18,2018-11-02
hDQT1,31.36,2018-11-02
P5h4L,11.54,2018-11-02
W~uEL,15.46,2018-11-02
1puVR,9.36,2018-11-02
HhC_4,34.400000000000006,2018-11-02
lnZKF,15.810000000000002,2018-11-02
MvvS_,27.75,2018-11-02
E2pL7,18.5,2018-11-02
27PcL,3.65,2018-11-02
z2SYm,49.040000000000006,2018-11-02
SZ3dp,71.59,2018-11-02
XVazT,10.66,2018-11-02
chofH,32.919999999999995,2018-11-02
M1f_p,96.24000000000001,2018-11-02
S0awJ,14.170000000000002,2018-11-02
SLJMG,37.31,2018-11-02
o6gaF,6.84,2018-11-02
VILSD,100.35,2018-11-02
HvLpv,25.93,2018-11-02
yeucS,107.22,2018-11-02
VPOAk,23.28,2018-11-02
GaDcE,41.25,2018-11-02
Ly6p5,93.12000000000003,2018-11-02
Y~WMn,55.08,2018-11-02
KpNaQ,14.840000000000002,2018-11-02
ciVUO,22.26,2018-11-02
0aGZS,22.439999999999998,2018-11-02
GRNw5,49.15,2018-11-02
AZA9B,35.550000000000004,2018-11-02
0TIGX,3.53,2018-11-02
TMDCH,9.32,2018-11-02
iVkLI,15.309999999999999,2018-11-02
flRlY,63.93,2018-11-02
OdXSc,50.699999999999996,2018-11-02
qT1w1,38.43,2018-11-02
_SzE0,0.0,2018-11-02
6ff6f,17.67,2018-11-02
qpeMN,26.16,2018-11-02
n_xsj,82.55000000000001,2018-11-02
~nM8d,10.709999999999999,2018-11-02
BV__U,24.88,2018-11-02
~971~,24.37,2018-11-02
sKn~3,33.0,2018-11-02
BOfTs,12.629999999999999,2018-11-02
zbOyv,58.400000000000006,2018-11-02
d_JGy,56.3,2018-11-02
LMzvE,30.779999999999998,2018-11-02
GEjgY,5.630000000000001,2018-11-02
unomI,31.610000000000003,2018-11-02
aKCE3,47.449999999999996,2018-11-02
NVMvb,14.739999999999998,2018-11-02
hezw9,36.7,2018-11-02
VYl8S,22.060000000000002,2018-11-02
0T_mv,10.389999999999999,2018-11-02
7P3b2,12.3,2018-11-02
XD6bA,45.93,2018-11-02
XyYYN,30.259999999999994,2018-11-02
MntWx,12.16,2018-11-02
FRu3E,18.66,2018-11-02
0MtDO,35.79,2018-11-02
Q3L5G,23.28,2018-11-02
sA~i6,33.19,2018-11-02
wwD1s,65.91,2018-11-02
Z6Wtl,38.120000000000005,2018-11-02
B_IDB,13.1,2018-11-02
gv0~O,6.91,2018-11-02
_DhEl,36.76,2018-11-02
DWQXG,41.080000000000005,2018-11-02
urx1N,54.620000000000005,2018-11-02
ellZ6,7.970000000000001,2018-11-02
n5c1W,40.760000000000005,2018-11-02
X1IzU,73.74000000000001,2018-11-02
L8W7O,31.249999999999993,2018-11-02
lE~gU,2.77,2018-11-02
sc7kc,31.48,2018-11-02
WXfaO,17.500000000000004,2018-11-02
d0Fiv,28.3,2018-11-02
teiBG,25.74,2018-11-02
WHtGX,18.700000000000003,2018-11-02
M2aic,29.669999999999998,2018-11-02
FzdfL,31.33,2018-11-02
fdTQP,28.95,2018-11-02
5_9QF,11.45,2018-11-02
ywJ4E,9.48,2018-11-02
4oElS,32.339999999999996,2018-11-02
PQB1x,45.129999999999995,2018-11-02
dPiZP,8.91,2018-11-02
dp4ba,51.09,2018-11-02
xYKcS,23.09,2018-11-02
OK5Hj,21.65,2018-11-02
fLHlZ,8.89,2018-11-02
iFJNv,21.709999999999997,2018-11-02
MYG13,17.240000000000002,2018-11-02
VT9ft,60.17,2018-11-02
PTeQY,6.07,2018-11-02
_7Z~u,10.129999999999999,2018-11-02
bJxGy,29.369999999999997,2018-11-02
5qO1J,10.4,2018-11-02
hVW7g,17.78,2018-11-02
05kvm,32.29,2018-11-02
V3c_z,11.780000000000001,2018-11-02
S44a6,61.999999999999986,2018-11-02
o~o_4,18.669999999999998,2018-11-02
HNR3G,12.32,2018-11-02
9TX4Q,13.610000000000001,2018-11-02
RQtro,21.15,2018-11-02
BkD9J,12.64,2018-11-02
wjuYb,17.15,2018-11-02
CS9mx,7.74,2018-11-02
cnbth,43.05,2018-11-02
Jz_zC,62.39,2018-11-02
IZAvX,27.17,2018-11-02
8~aWX,6.9799999999999995,2018-11-02
IYBRm,17.54,2018-11-02
7Bluc,36.43,2018-11-02
Tl5sp,11.009999999999998,2018-11-02
yCYBU,13.629999999999999,2018-11-02
kYfPQ,44.9,2018-11-02
TyMm~,20.689999999999998,2018-11-02
a2XOP,53.4,2018-11-02
iEy_r,15.579999999999998,2018-11-02
1SLkn,0.0,2018-11-02
LAhlB,17.25,2018-11-02
QasA2,9.89,2018-11-02
UgA99,26.999999999999996,2018-11-02
qG~Cl,6.23,2018-11-02
gToXh,32.28,2018-11-02
t3CnO,7.49,2018-11-02
Wx82k,46.330000000000005,2018-11-02
DO_0a,48.53,2018-11-02
pjcDs,18.83,2018-11-02
Jld~o,12.06,2018-11-02
W9gJu,35.14,2018-11-02
dmuSm,22.229999999999997,2018-11-02
ah2YM,22.270000000000003,2018-11-02
CHL~l,15.37,2018-11-02
iNwm2,14.41,2018-11-02
C663S,61.81,2018-11-02
qwwn2,6.74,2018-11-02
01IY0,20.52,2018-11-02
eoMUb,42.480000000000004,2018-11-02
JQF9g,5.82,2018-11-02
d522N,35.36,2018-11-02
LNWNj,99.51999999999998,2018-11-02
QI1cZ,56.43000000000001,2018-11-02
vSfhE,11.39,2018-11-02
MdWVo,36.33,2018-11-02
G~2PA,27.63,2018-11-02
DFd6~,47.940000000000005,2018-11-02
3pGkG,25.78,2018-11-02
lUhYa,94.04,2018-11-02
TqUH9,35.14,2018-11-02
oloVN,17.5,2018-11-02
br27h,18.55,2018-11-02
xgdmX,14.889999999999999,2018-11-02
eP3FA,30.72,2018-11-02
P1101,19.34,2018-11-02
yAufx,5.04,2018-11-02
TQQmt,26.259999999999998,2018-11-02
YmLXU,41.17,2018-11-02
j4Mz2,14.95,2018-11-02
qU2xB,3.61,2018-11-02
pCri~,6.95,2018-11-02
DJpSb,10.47,2018-11-02
fAWSW,6.86,2018-11-02
UYz~w,22.869999999999997,2018-11-02
z9FB0,8.98,2018-11-02
saVG9,4.52,2018-11-02
my9iS,65.97999999999999,2018-11-02
~9KAx,4.88,2018-11-02
46C_M,71.46,2018-11-02
ONKC2,6.74,2018-11-02
pYySB,0.0,2018-11-02
pKzS0,30.05,2018-11-02
eWakV,6.609999999999999,2018-11-02
xQ6uf,74.60000000000001,2018-11-02
EoDFv,16.0,2018-11-02
kC6kr,13.1,2018-11-02
TsOnd,6.75,2018-11-02
QqvGo,7.38,2018-11-02
uFhvW,32.74,2018-11-02
Cevsy,17.39,2018-11-02
TsIGQ,4.45,2018-11-02
vi4be,31.26,2018-11-02
asq7B,11.530000000000001,2018-11-02
IZGHR,34.3,2018-11-02
~vsra,42.21,2018-11-02
3abkm,33.879999999999995,2018-11-02
DSONv,11.959999999999999,2018-11-02
pPJVq,7.89,2018-11-02
9yBQ5,9.35,2018-11-02
zjfrK,24.03,2018-11-02
LxcSd,16.0,2018-11-02
5Zgrx,49.88999999999999,2018-11-02
sUGSW,19.43,2018-11-02
a1~cZ,16.82,2018-11-02
Ap9tG,24.020000000000003,2018-11-02
jRWUE,1.95,2018-11-02
QBgzO,19.409999999999997,2018-11-02
J4wfE,63.45,2018-11-02
WNtUz,65.57,2018-11-02
tMPQT,10.54,2018-11-02
iGejv,4.3,2018-11-02
sa2YK,18.15,2018-11-02
ZFJSt,13.22,2018-11-02
fCsXi,26.550000000000004,2018-11-02
G6MST,16.13,2018-11-02
_UnFr,16.04,2018-11-02
PCZ2O,20.370000000000005,2018-11-02
K11UZ,42.25,2018-11-02
WCb_U,15.440000000000001,2018-11-02
NKtgU,40.18,2018-11-02
xmxF7,16.900000000000002,2018-11-02
NeJYu,17.53,2018-11-02
tND~B,34.96,2018-11-02
A0VPM,9.08,2018-11-02
Q05ER,38.55,2018-11-02
g~kH4,23.3,2018-11-02
qEOHc,32.96,2018-11-02
kNNjx,18.3,2018-11-02
DfBEf,28.930000000000003,2018-11-02
obpmB,43.49,2018-11-02
RctzO,25.62,2018-11-02
OE~An,39.879999999999995,2018-11-02
qdks7,16.95,2018-11-02
AWpsR,17.57,2018-11-02
vxNHh,18.69,2018-11-02
BHeZc,104.16000000000001,2018-11-02
rz23d,28.89,2018-11-02
qKid0,7.359999999999999,2018-11-02
cTb7D,10.92,2018-11-02
_hmNl,18.9,2018-11-02
g6rVO,44.379999999999995,2018-11-02
MoVAi,8.67,2018-11-02
zP74C,14.09,2018-11-02
XMjKO,8.030000000000001,2018-11-02
_wpOp,31.599999999999998,2018-11-02
djcU4,117.93000000000002,2018-11-02
_VitN,13.499999999999998,2018-11-02
CN9Ev,9.129999999999999,2018-11-02
zTTR8,19.82,2018-11-02
T2EbS,20.76,2018-11-02
Eafmu,118.64999999999999,2018-11-02
LS~Ba,3.92,2018-11-02
t140h,20.99,2018-11-02
ZoTI1,3.95,2018-11-02
T4wfg,24.28,2018-11-02
OA~Xp,38.85,2018-11-02
qbXOh,6.95,2018-11-02
uMbiW,15.690000000000001,2018-11-02
HGgKE,41.959999999999994,2018-11-02
WyaSE,32.34,2018-11-02
sOY07,33.1,2018-11-02
9YpLg,29.330000000000002,2018-11-02
HcnxO,55.519999999999996,2018-11-02
LIVVD,12.77,2018-11-02
ZLRnJ,34.95,2018-11-02
FEfAe,12.15,2018-11-02
ojPT2,75.58,2018-11-02
cjtV4,27.919999999999995,2018-11-02
LOddc,39.3,2018-11-02
BedxJ,6.75,2018-11-02
m9ICG,17.939999999999998,2018-11-02
rxj4_,32.370000000000005,2018-11-02
k9yuV,93.45,2018-11-02
4koUs,23.97,2018-11-02
iG7bi,26.46,2018-11-02
lfwSp,61.53,2018-11-02
hX_9Y,43.14,2018-11-02
wWVRC,50.089999999999996,2018-11-02
2cfPH,11.43,2018-11-02
1dd2C,18.85,2018-11-02
lqHoF,13.600000000000001,2018-11-02
Qdn6R,26.06,2018-11-02
EgN0E,24.2,2018-11-02
U4Blz,40.58,2018-11-02
iGTNA,41.78,2018-11-02
9hLF2,35.29,2018-11-02
kjuhn,44.03,2018-11-02
638JI,7.7,2018-11-02
gMpJm,22.92,2018-11-02
UYF0m,51.370000000000005,2018-11-02
rsluE,17.59,2018-11-02
HoOuW,46.27,2018-11-02
40zSv,25.009999999999998,2018-11-02
q8lSf,22.0,2018-11-02
Gce4e,3.83,2018-11-02
L2tbw,0.0,2018-11-02
ToH8D,42.66,2018-11-02
w~hnY,11.0,2018-11-02
W1RI6,16.64,2018-11-02
3jfcp,46.879999999999995,2018-11-02
si2St,43.33,2018-11-02
MBBVt,26.47,2018-11-02
nXp80,59.75,2018-11-02
F0iUd,37.019999999999996,2018-11-02
NylwT,0.0,2018-11-02
4AC0R,10.38,2018-11-02
nA3HC,50.019999999999996,2018-11-02
30h_c,7.15,2018-11-02
bVRjI,34.96,2018-11-02
Mo5zq,45.72,2018-11-02
v6MeX,14.23,2018-11-02
ynenr,19.39,2018-11-02
vrxZb,16.18,2018-11-02
SRUnD,65.03,2018-11-02
9ZAlZ,40.11999999999999,2018-11-02
2VRPq,26.1,2018-11-02
BrlAt,15.29,2018-11-02
~Z89k,9.0,2018-11-02
gg3Rj,4.84,2018-11-02
3d6PN,14.96,2018-11-02
mZO5k,26.97,2018-11-02
20kuG,36.21,2018-11-02
dds8N,8.920000000000002,2018-11-02
mCXqd,55.230000000000004,2018-11-02
SGxRh,17.97,2018-11-02
_Hr3F,105.46000000000001,2018-11-02
drszu,10.04,2018-11-02
yw4pg,13.97,2018-11-02
r_2nM,11.940000000000001,2018-11-02
6C~EK,20.669999999999998,2018-11-02
El620,17.08,2018-11-02
lrdtg,15.56,2018-11-02
_NySm,23.32,2018-11-02
CAuQG,21.020000000000003,2018-11-02
t0w0R,7.64,2018-11-02
9zjqk,4.49,2018-11-02
jppnz,30.93,2018-11-02
xdVtP,48.25,2018-11-02
HgX9c,30.080000000000002,2018-11-02
3JcSI,36.33,2018-11-02
isSOw,30.819999999999997,2018-11-02
XfZXT,10.55,2018-11-02
zJbcL,27.82,2018-11-02
Qe~cg,7.8,2018-11-02
3dG3n,12.67,2018-11-02
e70tm,44.22,2018-11-02
AjEeA,47.709999999999994,2018-11-02
BxJBj,21.23,2018-11-02
RGoJ7,16.34,2018-11-02
hApNI,16.45,2018-11-02
jm_Ji,16.029999999999998,2018-11-02
zkmG_,44.15,2018-11-02
Ulw76,25.51,2018-11-02
OYMjj,50.589999999999996,2018-11-02
bc0LU,6.54,2018-11-02
Lwqxu,67.99,2018-11-02
GMVyW,29.3,2018-11-02
Um~RE,16.55,2018-11-02
jb_vS,13.31,2018-11-02
nodwX,9.370000000000001,2018-11-02
pMHqC,67.78,2018-11-02
eUdr_,10.89,2018-11-02
1SoCL,68.41999999999999,2018-11-02
Hp8ss,77.76999999999998,2018-11-02
pzfPQ,22.09,2018-11-02
daL0s,33.35999999999999,2018-11-02
nnmzW,19.380000000000003,2018-11-02
oS2mi,20.630000000000003,2018-11-02
9IgAZ,12.990000000000002,2018-11-02
Zi2fX,45.70000000000001,2018-11-02
Gd1i9,24.230000000000004,2018-11-02
EoBnP,12.540000000000001,2018-11-02
4qxqF,20.01,2018-11-02
knPWr,7.4399999999999995,2018-11-02
KbKNc,9.530000000000001,2018-11-02
vaj6v,46.82000000000001,2018-11-02
vsOzG,27.54,2018-11-02
BOxgj,28.990000000000002,2018-11-02
BhTIT,9.209999999999999,2018-11-02
lGlpQ,6.68,2018-11-02
icPIG,25.220000000000002,2018-11-02
Preao,37.91,2018-11-02
m6ocx,7.94,2018-11-02
x3PG_,30.779999999999998,2018-11-02
p2Bcr,25.68,2018-11-02
WaGAN,18.08,2018-11-02
KcXlz,17.5,2018-11-02
p6ok5,26.27,2018-11-02
MDYwX,34.73,2018-11-02
ibPJl,11.850000000000001,2018-11-02
jw275,16.93,2018-11-02
DI2b6,82.85,2018-11-02
dE3ZG,18.09,2018-11-02
ZdqqN,35.60000000000001,2018-11-02
rbCuZ,37.59,2018-11-02
yEh4t,33.66,2018-11-02
vClJg,20.630000000000003,2018-11-02
fS_eR,9.8,2018-11-02
VWrN8,21.440000000000005,2018-11-02
VJCya,17.46,2018-11-02
XrUU5,9.100000000000001,2018-11-02
erGyS,10.459999999999999,2018-11-02
m3dMX,99.73,2018-11-02
nyM~w,27.26,2018-11-02
Q~QBL,72.67999999999999,2018-11-02
Cs_22,6.44,2018-11-02
~Cjc2,24.840000000000003,2018-11-02
0Ir4f,9.350000000000001,2018-11-02
0lPf7,13.350000000000001,2018-11-02
aXXCR,18.75,2018-11-02
IvBEc,19.04,2018-11-02
u~jeA,71.78,2018-11-02
N681O,7.24,2018-11-02
moSYR,46.57,2018-11-02
kFSvz,15.66,2018-11-02
WfOhu,51.9,2018-11-02
PQGKl,30.08,2018-11-02
Xl89h,35.730000000000004,2018-11-02
Ry~Lk,22.59,2018-11-02
Jonjd,10.83,2018-11-02
xK8tD,28.740000000000006,2018-11-02
joLqV,35.519999999999996,2018-11-02
idFXT,6.95,2018-11-02
VZ6~U,25.86,2018-11-02
GFO0y,2.75,2018-11-02
QFdFC,15.429999999999998,2018-11-02
GvF4~,19.290000000000003,2018-11-02
mE8Kd,15.44,2018-11-02
xmBVu,4.23,2018-11-02
j4~Bt,24.240000000000002,2018-11-02
ATDcv,9.16,2018-11-02
XJsQ3,5.2,2018-11-02
pVbIJ,29.610000000000003,2018-11-02
dVsaN,29.45,2018-11-02
ruDek,82.18999999999998,2018-11-02
FLNt7,13.75,2018-11-02
SsLT_,32.58,2018-11-02
bwfbn,27.28,2018-11-02
jaJLx,28.789999999999996,2018-11-02
jJEzR,43.4,2018-11-02
c_Piw,12.229999999999999,2018-11-02
gY~Lm,5.13,2018-11-02
JPCJl,6.58,2018-11-02
d0PZm,13.75,2018-11-02
WHjsU,67.89,2018-11-02
XpvjD,19.61,2018-11-02
uMQvE,27.400000000000002,2018-11-02
auVGp,28.37,2018-11-02
